APR_MDC_key,week_number,day_number,hospitalizations
00,1,1,5.0
00,1,2,4.0
00,1,3,5.0
00,1,4,5.5
00,1,5,3.5
00,1,6,1.0
00,1,7,3.0
00,2,1,7.0
00,2,2,7.0
00,2,3,5.5
00,2,4,6.0
00,2,5,3.0
00,2,6,1.0
00,2,7,3.0
00,3,1,2.5
00,3,2,4.5
00,3,3,4.5
00,3,4,5.0
00,3,5,3.0
00,3,6,1.5
00,3,7,1.5
00,4,1,5.5
00,4,2,5.5
00,4,3,5.5
00,4,4,5.5
00,4,5,3.5
00,4,6,1.5
00,4,7,2.5
00,5,1,5.0
00,5,2,5.5
00,5,3,7.5
00,5,4,6.5
00,5,5,3.0
00,5,6,1.0
00,5,7,2.0
00,6,1,4.0
00,6,2,3.5
00,6,3,7.0
00,6,4,5.5
00,6,5,4.0
00,6,6,1.0
00,6,7,2.0
00,7,1,3.5
00,7,2,6.0
00,7,3,5.5
00,7,4,7.5
00,7,5,2.0
00,7,6,2.0
00,7,7,4.0
00,8,1,6.0
00,8,2,7.0
00,8,3,7.0
00,8,4,5.0
00,8,5,2.5
00,8,6,1.0
00,8,7,2.0
00,9,1,4.5
00,9,2,3.0
00,9,3,5.0
00,9,4,5.5
00,9,5,3.0
00,9,6,1.0
00,9,7,2.0
00,10,1,3.0
00,10,2,4.5
00,10,3,7.0
00,10,4,4.5
00,10,5,3.0
00,10,6,1.5
00,10,7,2.0
00,11,1,5.0
00,11,2,4.0
00,11,3,4.5
00,11,4,4.5
00,11,5,2.5
00,11,6,1.0
00,11,7,2.0
00,12,1,4.5
00,12,2,6.0
00,12,3,5.5
00,12,4,5.0
00,12,5,4.0
00,12,7,2.0
00,13,1,3.5
00,13,2,4.0
00,13,3,6.0
00,13,4,5.0
00,13,5,2.5
00,13,6,1.0
00,13,7,2.0
00,14,1,3.0
00,14,2,5.0
00,14,3,7.0
00,14,4,5.0
00,14,5,2.5
00,14,6,1.5
00,14,7,2.0
00,15,1,2.0
00,15,2,5.0
00,15,3,4.5
00,15,4,5.0
00,15,5,2.0
00,15,6,1.5
00,15,7,2.5
00,16,1,5.0
00,16,2,5.0
00,16,3,7.5
00,16,4,4.0
00,16,5,3.0
00,16,6,1.0
00,16,7,1.0
00,17,1,4.0
00,17,2,5.0
00,17,3,5.0
00,17,4,4.0
00,17,5,3.0
00,17,6,1.0
00,17,7,1.0
00,18,1,2.0
00,18,2,5.0
00,18,3,5.0
00,18,4,4.0
00,18,5,2.5
00,18,6,1.0
00,18,7,1.0
00,19,1,4.5
00,19,2,6.0
00,19,3,6.5
00,19,4,5.0
00,19,5,3.0
00,19,6,1.0
00,19,7,1.0
00,20,1,4.0
00,20,2,4.5
00,20,3,5.0
00,20,4,5.5
00,20,5,2.5
00,20,6,1.0
00,20,7,1.0
00,21,1,4.5
00,21,2,7.0
00,21,3,7.5
00,21,4,6.0
00,21,5,1.0
00,21,6,1.5
00,21,7,2.0
00,22,1,3.5
00,22,2,5.0
00,22,3,4.5
00,22,4,3.5
00,22,5,5.0
00,22,6,1.0
00,22,7,2.0
00,23,1,5.0
00,23,2,5.0
00,23,3,8.0
00,23,4,2.5
00,23,5,2.0
00,23,6,1.0
00,23,7,1.0
00,24,1,3.0
00,24,2,4.5
00,24,3,6.0
00,24,4,6.5
00,24,5,4.5
00,24,6,2.0
00,24,7,2.0
00,25,1,2.0
00,25,2,4.5
00,25,3,6.5
00,25,4,3.5
00,25,5,4.5
00,25,6,1.0
00,25,7,1.0
00,26,1,6.0
00,26,2,7.0
00,26,3,6.5
00,26,4,4.5
00,26,5,2.5
00,26,6,1.0
00,26,7,3.0
00,27,1,3.0
00,27,2,4.5
00,27,3,4.0
00,27,4,4.5
00,27,5,3.0
00,27,6,2.0
00,27,7,1.0
00,28,1,3.0
00,28,2,5.0
00,28,3,6.0
00,28,4,4.0
00,28,5,1.5
00,28,6,2.0
00,28,7,2.5
00,29,1,3.5
00,29,2,2.0
00,29,3,7.0
00,29,4,4.0
00,29,5,2.0
00,29,6,2.5
00,29,7,1.0
00,30,1,2.5
00,30,2,5.5
00,30,3,6.0
00,30,4,3.0
00,30,5,1.0
00,30,6,2.0
00,30,7,1.0
00,31,1,4.0
00,31,2,5.0
00,31,3,3.5
00,31,4,4.5
00,31,5,1.5
00,31,6,1.0
00,31,7,1.5
00,32,1,6.5
00,32,2,5.5
00,32,3,7.5
00,32,4,4.0
00,32,5,2.5
00,32,6,1.0
00,32,7,1.0
00,33,1,4.0
00,33,2,5.0
00,33,3,4.5
00,33,4,6.0
00,33,5,5.0
00,33,6,1.5
00,33,7,4.0
00,34,1,4.0
00,34,2,3.5
00,34,3,5.0
00,34,4,3.5
00,34,5,3.0
00,34,6,1.0
00,34,7,2.0
00,35,1,4.0
00,35,2,5.5
00,35,3,5.0
00,35,4,2.5
00,35,5,1.5
00,35,6,1.0
00,35,7,2.0
00,36,1,3.5
00,36,2,5.0
00,36,3,7.5
00,36,4,2.5
00,36,5,6.5
00,36,6,2.0
00,36,7,2.0
00,37,1,6.5
00,37,2,4.0
00,37,3,5.5
00,37,4,2.5
00,37,5,3.0
00,37,6,1.0
00,37,7,2.0
00,38,1,5.0
00,38,2,4.5
00,38,3,6.0
00,38,4,3.0
00,38,5,3.5
00,38,6,2.0
00,38,7,2.0
00,39,1,5.0
00,39,2,5.5
00,39,3,5.5
00,39,4,3.5
00,39,5,2.0
00,39,6,1.0
00,39,7,2.0
00,40,1,5.5
00,40,2,5.5
00,40,3,5.5
00,40,4,6.0
00,40,5,2.0
00,40,6,1.0
00,40,7,3.0
00,41,1,6.5
00,41,2,5.5
00,41,3,6.5
00,41,4,4.0
00,41,5,2.5
00,41,6,2.0
00,41,7,1.5
00,42,1,7.0
00,42,2,6.5
00,42,3,6.0
00,42,4,7.0
00,42,5,2.0
00,42,6,1.0
00,42,7,1.0
00,43,1,7.0
00,43,2,3.5
00,43,3,6.5
00,43,4,4.0
00,43,5,3.0
00,43,6,1.5
00,43,7,2.0
00,44,1,5.0
00,44,2,3.5
00,44,3,9.0
00,44,4,4.5
00,44,5,2.0
00,44,6,2.0
00,44,7,1.0
00,45,1,4.0
00,45,2,5.5
00,45,3,5.5
00,45,4,6.5
00,45,5,2.0
00,45,6,2.0
00,45,7,2.0
00,46,1,3.5
00,46,2,6.5
00,46,3,6.5
00,46,4,5.0
00,46,5,2.5
00,46,6,2.0
00,46,7,1.0
00,47,1,5.0
00,47,2,5.5
00,47,3,4.0
00,47,4,4.0
00,47,5,2.0
00,47,6,4.0
00,47,7,4.0
00,48,1,5.0
00,48,2,3.0
00,48,3,6.5
00,48,4,3.5
00,48,5,1.5
00,48,6,1.5
00,48,7,2.0
00,49,1,5.0
00,49,2,6.5
00,49,3,9.5
00,49,4,5.5
00,49,5,2.0
00,49,6,1.5
00,49,7,2.0
00,50,1,5.0
00,50,2,3.0
00,50,3,6.5
00,50,4,4.5
00,50,5,3.0
00,50,6,1.0
00,50,7,2.0
00,51,1,4.0
00,51,2,4.0
00,51,3,7.0
00,51,4,5.0
00,51,5,2.5
00,51,6,1.0
00,51,7,4.0
00,52,1,2.0
00,52,2,3.0
00,52,3,3.0
00,52,4,2.0
00,52,5,2.5
00,52,6,1.0
00,52,7,1.0
00,53,6,1.0
00,53,7,2.0
01,1,1,15.0
01,1,2,16.0
01,1,3,21.0
01,1,4,17.0
01,1,5,11.5
01,1,6,6.0
01,1,7,6.5
01,2,1,18.5
01,2,2,19.0
01,2,3,17.5
01,2,4,14.0
01,2,5,13.5
01,2,6,5.0
01,2,7,5.5
01,3,1,16.5
01,3,2,19.5
01,3,3,16.0
01,3,4,14.5
01,3,5,12.0
01,3,6,6.5
01,3,7,6.5
01,4,1,19.0
01,4,2,21.0
01,4,3,17.5
01,4,4,16.5
01,4,5,9.5
01,4,6,4.5
01,4,7,5.0
01,5,1,22.5
01,5,2,20.5
01,5,3,16.0
01,5,4,14.0
01,5,5,12.5
01,5,6,7.5
01,5,7,10.0
01,6,1,22.5
01,6,2,22.0
01,6,3,14.5
01,6,4,10.0
01,6,5,8.0
01,6,6,6.0
